,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
213416,10180,"Abilene, TX",4,TX,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,70730,0.1,1000,1,,,22.57,46940,0.4,10.41,13.19,17.7,26.44,37.86,21640,27440,36820,55000,78740,,
213417,10380,"Aguadilla-Isabela, PR",4,PR,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,50190,0,1000,1,,,13.86,28820,2.1,8.5,8.75,9.98,14.31,22.72,17680,18200,20760,29770,47260,,
213418,10420,"Akron, OH",4,OH,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,313280,0,1000,1,,,27.02,56190,0.6,11.74,14.97,21.31,31.41,47.05,24430,31130,44330,65320,97870,,
213419,10500,"Albany, GA",4,GA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,58610,0,1000,1,,,22.72,47250,0.7,10.14,12.94,17.51,27.49,38.19,21100,26920,36420,57180,79440,,
213420,10540,"Albany, OR",4,OR,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,47020,0.1,1000,1,,,25.8,53670,0.5,14.01,16.56,21.36,29.49,42.61,29140,34440,44420,61330,88620,,
213421,10580,"Albany-Schenectady-Troy, NY",4,NY,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,428460,0,1000,1,,,31.1,64690,0.3,14.39,17.3,24.01,37.98,51.83,29930,35980,49940,78990,107810,,
213422,10740,"Albuquerque, NM",4,NM,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,381260,0,1000,1,,,27.18,56540,0.5,12.18,14.24,19.81,31.19,49.26,25330,29630,41200,64880,102460,,
213423,10780,"Alexandria, LA",4,LA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,59810,0.1,1000,1,,,21.43,44580,0.8,9.18,12.13,17.35,24.93,36.95,19080,25240,36090,51860,76850,,
213424,10900,"Allentown-Bethlehem-Easton, PA-NJ",4,PA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,361250,0,1000,1,,,27.37,56930,0.6,12.95,16.05,21.84,31.23,46.36,26940,33380,45430,64960,96430,,
213425,11020,"Altoona, PA",4,PA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,57060,0,1000,1,,,22.88,47590,0.9,10.62,13.57,18.18,27.02,37.65,22090,28230,37810,56200,78310,,
213426,11100,"Amarillo, TX",4,TX,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,115020,0,1000,1,,,23.15,48160,0.6,10.45,13.42,18.06,28,39.45,21730,27910,37570,58240,82060,,
213427,11180,"Ames, IA",4,IA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,46060,0,1000,1,,,26.51,55150,0.4,11.69,15,21.99,31.03,46.84,24300,31200,45740,64540,97430,,
213428,11260,"Anchorage, AK",4,AK,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,166890,0,1000,1,,,32.22,67020,0.4,14.23,17.62,24.54,38.99,56.01,29610,36650,51040,81090,116500,,
213429,11460,"Ann Arbor, MI",4,MI,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,211200,0,1000,1,,,31.8,66130,0.5,13,16.39,23.63,37.99,55.75,27040,34090,49150,79030,115970,,
213430,11500,"Anniston-Oxford-Jacksonville, AL",4,AL,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,43670,0,1000,1,,,21.14,43960,0.6,9.79,12.49,17.39,25.4,35.95,20370,25980,36170,52830,74780,,
213431,11540,"Appleton, WI",4,WI,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,120230,0,1000,1,,,26.2,54490,0.5,12.76,16,21.84,30.25,42.71,26550,33280,45440,62910,88840,,
213432,11640,"Arecibo, PR",4,PR,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,31930,0,1000,1,,,13.61,28300,0.9,8.5,8.87,10.5,14.6,21.86,17680,18460,21840,30360,45470,,
213433,11700,"Asheville, NC",4,NC,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,196280,0,1000,1,,,24.25,50450,0.7,10.97,14.04,18.47,27.62,39.84,22810,29210,38420,57460,82870,,
213434,12020,"Athens-Clarke County, GA",4,GA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,87420,0,1000,1,,,24.88,51740,0.4,10.52,13.78,19.08,30.12,41.22,21880,28660,39690,62660,85740,,
213435,12060,"Atlanta-Sandy Springs-Roswell, GA",4,GA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,2727620,0,1000,1,,,30.37,63180,0.5,11.62,15.22,22.45,36.73,58.66,24160,31660,46700,76410,122020,,
213436,12100,"Atlantic City-Hammonton, NJ",4,NJ,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,124050,0,1000,1,,,27.47,57130,0.4,13.2,14.83,20.85,32.51,48.72,27460,30840,43360,67620,101330,,
213437,12220,"Auburn-Opelika, AL",4,AL,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,61310,0.1,1000,1,,,22.78,47390,0.4,10.28,12.95,17.55,26.21,39.46,21370,26930,36500,54520,82070,,
213438,12260,"Augusta-Richmond County, GA-SC",4,GA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,226670,0,1000,1,,,24.97,51930,0.4,10.55,13.76,18.96,29.73,43.7,21940,28610,39430,61840,90900,,
213439,12420,"Austin-Round Rock, TX",4,TX,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,1176860,0,1000,1,,,30.72,63890,0.6,12.63,16.14,22.9,37.28,59.44,26270,33570,47630,77530,123640,,
213440,12540,"Bakersfield, CA",4,CA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,324350,0,1000,1,,,27.48,57150,0.8,14.58,15.49,19.65,31.41,49.78,30330,32220,40880,65320,103540,,
213441,12580,"Baltimore-Columbia-Towson, MD",4,MD,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,1295030,0,1000,1,,,32.99,68620,0.7,13.83,17.21,24.34,39.08,61.29,28770,35810,50630,81290,127490,,
213442,12940,"Baton Rouge, LA",4,LA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,385020,0,1000,1,,,26.39,54890,0.4,10.34,13.99,21.52,31.2,47.18,21510,29110,44760,64890,98140,,
213443,12980,"Battle Creek, MI",4,MI,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,50350,0.1,1000,1,,,26.16,54410,0.5,12.96,15.34,21.6,31.07,44.77,26960,31910,44930,64630,93130,,
213444,13020,"Bay City, MI",4,MI,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,33710,0.1,1000,1,,,24.31,50560,0.4,11.51,13.99,18.22,29.23,43.25,23930,29100,37890,60790,89960,,
213445,13140,"Beaumont-Port Arthur, TX",4,TX,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,151300,0,1000,1,,,25.51,53060,0.6,10.67,13.87,20.08,30.31,45.98,22200,28840,41770,63050,95640,,
213446,13220,"Beckley, WV",4,WV,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,40440,0.1,1000,1,,,21.84,45440,0.7,10.08,12.21,17,25.98,37.58,20960,25390,35360,54030,78160,,
213447,13380,"Bellingham, WA",4,WA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,88170,0,1000,1,,,29.18,60690,0.6,15.16,17.38,22.92,34.9,49.14,31530,36150,47680,72590,102210,,
213448,13460,"Bend-Redmond, OR",4,OR,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,86990,0,1000,1,,,28,58240,0.4,14.24,16.85,22,31.49,49,29630,35040,45760,65490,101910,,
213449,13740,"Billings, MT",4,MT,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,87410,0,1000,1,,,26.39,54880,0.4,12.13,15.16,20.97,30.89,45.78,25240,31530,43620,64240,95220,,
213450,13780,"Binghamton, NY",4,NY,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,93760,0,1000,1,,,27.58,57370,0.6,13.65,15.37,21.41,31.62,47.91,28390,31970,44520,65780,99650,,
213451,13820,"Birmingham-Hoover, AL",4,AL,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,500850,0,1000,1,,,25.98,54040,0.5,10.71,14.06,19.51,30.06,46.86,22280,29250,40580,62530,97470,,
213452,13900,"Bismarck, ND",4,ND,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,71200,0.1,1000,1,,,26.45,55010,0.5,13.55,16.78,22.57,30.91,41.97,28180,34900,46940,64280,87300,,
213453,13980,"Blacksburg-Christiansburg-Radford, VA",4,VA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,71010,0,1000,1,,,25.54,53130,0.5,11.35,14.31,20.18,29.44,44.7,23610,29770,41980,61240,92970,,
213454,14010,"Bloomington, IL",4,IL,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,88510,0,1000,1,,,29.09,60500,0.6,12.76,15.15,22.28,36.29,54.87,26540,31510,46350,75470,114130,,
213455,14020,"Bloomington, IN",4,IN,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,71720,0,1000,1,,,26.69,55520,0.5,11.47,14.78,21.14,31.06,46.72,23850,30740,43970,64600,97180,,
213456,14100,"Bloomsburg-Berwick, PA",4,PA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,39910,0.1,1000,1,,,29.5,61360,0.9,11.61,15.35,21.52,31.8,47.62,24140,31920,44760,66140,99040,,
213457,14260,"Boise City, ID",4,ID,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,358230,0,1000,1,,,25.45,52930,0.5,11.7,14.93,20,29.86,44.02,24340,31060,41600,62110,91550,,
213458,14500,"Boulder, CO",4,CO,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,191840,0,1000,1,,,39.2,81530,1.2,15.71,19.05,29.5,47.86,74.87,32680,39610,61360,99560,155720,,
213459,14540,"Bowling Green, KY",4,KY,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,75160,0,1000,1,,,22.2,46170,0.5,10.75,13.65,17.96,25.54,36.34,22350,28390,37360,53110,75590,,
213460,14740,"Bremerton-Silverdale, WA",4,WA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,90640,0,1000,1,,,31.18,64850,0.6,15.78,18.09,25.99,38.43,51.75,32830,37620,54060,79920,107640,,
213461,15180,"Brownsville-Harlingen, TX",4,TX,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,149600,0,1000,1,,,20.06,41720,0.5,9.58,10.82,14.93,23.53,35.45,19930,22510,31050,48950,73740,,
213462,15260,"Brunswick, GA",4,GA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,42440,0.1,1000,1,,,23.54,48950,0.6,10.24,12.95,17.58,28.69,44.36,21290,26940,36570,59680,92270,,
213463,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",4,NY,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,515900,0,1000,1,,,28.62,59530,0.4,13.94,16.08,22.46,33.31,48.89,29000,33440,46720,69290,101690,,
