,GeoFips,GeoName,LineCode,Description,2022,percentage_of_msa_gdp,ratio_to_USA,big_economy
2,00998,United States (Metropolitan Portion) *,3.0,"    Agriculture, forestry, fishing and hunting",123869693,0.0053667609583442875,1.0,False
3,00998,United States (Metropolitan Portion) *,6.0,"    Mining, quarrying, and oil and gas extraction",192523395,0.008341241629249018,1.0,False
4,00998,United States (Metropolitan Portion) *,10.0,    Utilities,330034661,0.014299035467498835,1.0,False
5,00998,United States (Metropolitan Portion) *,11.0,    Construction,992342266,0.04299408193805487,1.0,False
6,00998,United States (Metropolitan Portion) *,12.0,    Manufacturing,2265225691,0.09814285081256528,1.0,False
9,00998,United States (Metropolitan Portion) *,34.0,    Wholesale trade,1443131735,0.06252492329294507,1.0,False
10,00998,United States (Metropolitan Portion) *,35.0,    Retail trade,1450572659,0.06284730772330938,1.0,False
11,00998,United States (Metropolitan Portion) *,36.0,    Transportation and warehousing,825684816,0.03577350461671433,1.0,False
12,00998,United States (Metropolitan Portion) *,45.0,    Information,1357255052,0.05880424216106797,1.0,False
14,00998,United States (Metropolitan Portion) *,51.0,      Finance and insurance,1849295221,0.08012230556279389,1.0,False
15,00998,United States (Metropolitan Portion) *,56.0,      Real estate and rental and leasing,3127388453,0.1354967938052219,1.0,False
17,00998,United States (Metropolitan Portion) *,60.0,"      Professional, scientific, and technical services",1953706764,0.08464602544133501,1.0,False
18,00998,United States (Metropolitan Portion) *,64.0,      Management of companies and enterprises,466267487,0.020201439793484453,1.0,False
19,00998,United States (Metropolitan Portion) *,65.0,      Administrative and support and waste management and remediation services,773119397,0.03349606264026406,1.0,False
21,00998,United States (Metropolitan Portion) *,69.0,      Educational services,278762011,0.012077603819558518,1.0,False
22,00998,United States (Metropolitan Portion) *,70.0,      Health care and social assistance,1706189900,0.07392214448163155,1.0,False
24,00998,United States (Metropolitan Portion) *,76.0,"      Arts, entertainment, and recreation",252761697,0.010951117859188111,1.0,False
25,00998,United States (Metropolitan Portion) *,79.0,      Accommodation and food services,730683578,0.03165749429373102,1.0,False
26,00998,United States (Metropolitan Portion) *,82.0,    Other services (except government and government enterprises),490530757,0.02125266682896089,1.0,False
27,00998,United States (Metropolitan Portion) *,83.0,Government and government enterprises,2471558493,0.10708239687408157,1.0,False
37,10180,"Abilene, TX (Metropolitan Statistical Area)",3.0,"    Agriculture, forestry, fishing and hunting",27847,0.003512799320222179,0.6545473792270267,False
38,10180,"Abilene, TX (Metropolitan Statistical Area)",6.0,"    Mining, quarrying, and oil and gas extraction",288561,0.036400936712846346,4.363971016641512,False
39,10180,"Abilene, TX (Metropolitan Statistical Area)",10.0,    Utilities,333928,0.042123821287864106,2.9459204702030397,False
