,Unnamed: 0,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,percentage_of_msa_emp,emp_ratio_to_USA,big_economy,a_median_adj,h_median_adj,a_median_adj_ratio_to_USA,h_median_adj_ratio_to_USA
0,1,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,9860740,0.6,,,,,63.08,131200,0.6,24.18,36.23,51,78.71,106.03,50290,75350,107360,163710,220550,,,0.06667797267111522,1.0,False,107360.0,51.0,1.0,1.0
1,74,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,9677720,0.7,,,,,41.39,86080,0.3,20.55,27.33,36,49.14,64.66,42750,56840,76850,102210,134480,,,0.0654403979497183,1.0,False,76850.0,36.0,1.0,1.0
2,132,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,5003910,0.2,,,,,51.99,108130,0.5,23.72,32.56,48,64.52,82.33,49330,67730,100440,134210,171250,,,0.03383626119629158,1.0,False,100440.0,48.0,1.0,1.0
3,168,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,17-0000,Architecture and Engineering Occupations,major,2481170,0.3,,,,,45.52,94670,0.5,23.38,30.73,40,56.23,72.33,48630,63920,83700,116960,150450,,,0.01677758316844283,1.0,False,83700.0,40.0,1.0,1.0
4,229,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,19-0000,"Life, Physical, and Social Science Occupations",major,1314360,0.5,,,,,40.21,83640,0.6,18.99,24.74,35,49.45,65.02,39490,51460,74330,102850,135240,,,0.00888765550658541,1.0,False,74330.0,35.0,1.0,1.0
5,308,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,21-0000,Community and Social Service Occupations,major,2313620,0.4,,,,,26.81,55760,0.5,15.56,18.67,23,31.13,40.19,32360,38840,49380,64750,83600,,,0.01564461603605263,1.0,False,49380.0,23.0,1.0,1.0
6,334,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,23-0000,Legal Occupations,major,1216600,0.5,,,,,59.87,124540,2,21.8,29,45,78.53,112.97,45340,60320,95170,163340,234970,,,0.008226605868492505,1.0,False,95170.0,45.0,1.0,1.0
7,349,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,25-0000,Educational Instruction and Library Occupations,major,8496780,0.2,,,,,30.41,63240,0.5,13.9,18.23,27,37.3,49.2,28910,37910,57490,77590,102330,,,0.057454923731127525,1.0,False,57490.0,27.0,1.0,1.0
8,446,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,2063380,0.5,,,,,36.78,76500,1,14.62,18.6,27,41.29,62.34,30410,38690,58030,85880,129670,,,0.013952502068823003,1.0,False,58030.0,27.0,1.0,1.0
9,508,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,29-0000,Healthcare Practitioners and Technical Occupations,major,9043070,0.2,,,,,46.52,96770,0.3,18.43,26.62,37,50.57,77.59,38340,55370,77760,105190,161380,,,0.061148917253977086,1.0,False,77760.0,37.0,1.0,1.0
10,609,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,31-0000,Healthcare Support Occupations,major,6792310,0.2,,,,,17.1,35560,0.3,11.57,14.01,16,18.62,22.92,24060,29130,33600,38730,47670,,,0.04592935829904679,1.0,False,33600.0,16.0,1.0,1.0
11,636,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,33-0000,Protective Service Occupations,major,3437610,0.2,,,,,25.97,54010,0.3,13.38,16.2,21,31.88,45.78,27830,33700,45450,66300,95220,,,0.02324499638302525,1.0,False,45450.0,21.0,1.0,1.0
12,679,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,35-0000,Food Preparation and Serving Related Occupations,major,12514620,0.1,,,,,15.45,32130,0.4,10.15,11.75,14,17.13,21.71,21110,24440,29640,35630,45150,,,0.08462341470816512,1.0,False,29640.0,14.0,1.0,1.0
13,712,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4316350,0.4,,,,,17.26,35900,0.3,11.37,13.72,16,19,23.86,23640,28540,33870,39520,49630,,,0.029187004965039967,1.0,False,33870.0,16.0,1.0,1.0
14,730,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,39-0000,Personal Care and Service Occupations,major,2835650,0.7,,,,,17.41,36210,0.5,10.5,12.8,15,19.1,26.86,21830,26620,31340,39730,55880,,,0.01917456430296792,1.0,False,31340.0,15.0,1.0,1.0
15,790,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,41-0000,Sales and Related Occupations,major,13183250,0.3,,,,,24.22,50370,0.6,11.14,13.61,16,27.16,45.21,23180,28310,35290,56480,94040,,,0.08914466695364444,1.0,False,35290.0,16.0,1.0,1.0
16,833,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,43-0000,Office and Administrative Support Occupations,major,18674770,0.1,,,,,21.9,45550,0.1,13.8,16.46,19,25,32.14,28700,34230,40910,52000,66850,,,0.12627812960278464,1.0,False,40910.0,19.0,1.0,1.0
17,942,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,45-0000,"Farming, Fishing, and Forestry Occupations",major,461750,1.2,,,,,18.21,37870,1.2,13.78,14.98,16,19.17,25.37,28660,31150,33970,39870,52780,,,0.003122337053901376,1.0,False,33970.0,16.0,1.0,1.0
18,966,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-0000,Construction and Extraction Occupations,major,6075520,0.3,,,,,28.08,58400,0.3,16.41,19.01,24,33.88,45.3,34130,39550,50570,70460,94220,,,0.04108244984887686,1.0,False,50570.0,24.0,1.0,1.0
19,1069,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-0000,"Installation, Maintenance, and Repair Occupations",major,5823400,0.4,,,,,26.77,55680,0.2,15,18.45,24,31.53,40.37,31200,38370,50080,65570,83970,,,0.03937762338860698,1.0,False,50080.0,24.0,1.0,1.0
